"","X","total"
"189","S. Sudan",-3145386.11908913
"190","Senegal",-4042679.41278602
"191","Singapore",-1862.68528824076
"192","S. Geo. and the Is.",0
"193","Saint Helena",-45.4612692195441
"194","Solomon Is.",64682.4808128686
"195","Sierra Leone",-636895.064684871
"196","El Salvador",221304.946023482
"197","San Marino",1658.39836573242
"198","Somaliland",-157488.168343043
"199","Somalia",-825684.656321316
"200","St. Pierre and Miquelon",0
"201","Serbia",-3043363.91199361
"202","São Tomé and Principe",-313.124841534712
"203","Suriname",50412.2304682651
"204","Slovakia",-1609971.49954626
"205","Slovenia",-326419.11137044
"206","Sweden",-1896400.46733729
"207","Swaziland",-212120.868761107
"208","Sint Maarten",-35.8226166377339
"209","Seychelles",-47.4844461140597
"210","Syria",-3760599.33576005
"211","Turks and Caicos Is.",-821.267516123202
"212","Chad",-6732469.55526111
"213","Togo",-2328021.85598761
"214","Thailand",-18882599.3767633
"215","Tajikistan",-1190061.99499085
"216","Turkmenistan",-2465902.84835877
"217","Timor-Leste",242496.088018183
"218","Tonga",-362.191529727917
"219","Trinidad and Tobago",-9467.93330863438
"220","Tunisia",-5289264.93220175
"221","Turkey",-18038707.46341
"222","Taiwan",-571545.557940249
"223","Tanzania",-9143232.19854596
"224","Uganda",-808658.64078205
"225","Ukraine",-28489009.4092908
"226","Uruguay",132147.505121091
"227","United States of America",-182726002.425705
"228","Uzbekistan",-3558842.48374229
"229","Vatican",0
"230","St. Vin. and Gren.",-123.049295842001
"231","Venezuela",-3617724.50051032
"232","British Virgin Is.",-504.527110734804
"233","U.S. Virgin Is.",-1517.0777210966
"234","Vietnam",93857.202053679
"235","Vanuatu",159571.567717307
"236","Wallis and Futuna Is.",-12.6484091130515
"237","Samoa",-123.315746570966
"238","Yemen",-97633.8858370843
"239","South Africa",-13419774.554443
"240","Zambia",-2708217.46956342
"241","Zimbabwe",-7127422.70489609
